day,mu,sigma,lambda,mu_J,sigma_J
2024-03-15,-0.009770552,0.039806772,74.55908,-6.2981104e-05,0.0034545446
2024-03-16,-0.019539217,0.031693432,64.96558,-0.0001560142,0.0024781341
2024-03-17,-0.00066575897,0.032475572,59.351475,0.0010511038,0.0018624011
2024-03-18,0.008464467,0.029341733,77.50539,-0.0006076377,0.0016854242
2024-03-19,-0.023232272,0.04718151,54.56751,0.00020553515,0.0029905015
2024-03-20,0.020374397,0.04893887,52.21583,0.00041214807,0.0031836566
2024-03-21,-0.009169804,0.03385128,66.95977,-4.706841e-05,0.0019466267
2024-03-22,-0.0030250517,0.03030299,81.295425,-0.00027653496,0.0019223999
2024-03-23,-0.016117746,0.030539509,43.94877,0.0016162104,0.0023529825
2024-03-24,0.0060972655,0.024645438,64.316086,0.0007785588,0.0016731514
2024-03-25,0.0015043286,0.028207464,65.280914,0.00050718576,0.001962805
2024-03-26,-0.0036892418,0.024723584,71.65258,3.4955716e-05,0.0017507775
2024-03-27,-0.004947033,0.022050086,41.382217,-0.00056060456,0.0025253582
2024-03-28,0.005609495,0.0231039,69.0887,0.000100175916,0.00172657
2024-03-29,-0.0025878425,0.018175958,42.12306,-0.000731409,0.001437959
