day,method,obs_idx
2024-03-27,raw_lomn,6996
2024-03-27,raw_lomn,32824
2024-03-27,raw_lomn,33440
2024-03-27,raw_lomn,46904
2024-03-27,raw_lomn,47168
2024-03-27,raw_lomn,47476
2024-03-27,raw_lomn,48576
2024-03-27,raw_lomn,48664
2024-03-27,raw_lomn,48884
2024-03-27,raw_lomn,49192
2024-03-27,raw_lomn,49236
2024-03-27,raw_lomn,49500
2024-03-27,raw_lomn,49544
2024-03-27,raw_lomn,49588
2024-03-27,raw_lomn,49632
2024-03-27,raw_lomn,49720
2024-03-27,raw_lomn,49896
2024-03-27,raw_lomn,50028
2024-03-27,raw_lomn,50336
2024-03-27,raw_lomn,50468
2024-03-27,raw_lomn,50512
2024-03-27,raw_lomn,50556
2024-03-27,raw_lomn,50600
2024-03-27,raw_lomn,50644
2024-03-27,raw_lomn,50776
2024-03-27,raw_lomn,50908
2024-03-27,raw_lomn,51084
2024-03-27,raw_lomn,51128
2024-03-27,raw_lomn,51172
2024-03-27,raw_lomn,51216
2024-03-27,raw_lomn,51304
2024-03-27,raw_lomn,51392
2024-03-27,raw_lomn,51524
2024-03-27,raw_lomn,51656
2024-03-27,raw_lomn,51832
2024-03-27,raw_lomn,52228
2024-03-27,raw_lomn,52492
2024-03-27,raw_lomn,52756
2024-03-27,raw_lomn,53240
2024-03-27,raw_lomn,54736
2024-03-27,raw_lomn,54868
2024-03-27,raw_lomn,54912
2024-03-27,raw_lomn,55044
2024-03-27,raw_lomn,55528
2024-03-27,raw_lomn,56012
2024-03-27,raw_lomn,56584
2024-03-27,raw_lomn,57684
2024-03-27,raw_lomn,58080
2024-03-27,raw_lomn,58212
2024-03-27,raw_lomn,58344
2024-03-27,raw_lomn,58388
2024-03-27,raw_lomn,58828
2024-03-27,raw_lomn,59180
2024-03-27,raw_lomn,59268
2024-03-27,raw_lomn,64680
2024-03-27,raw_lomn,64856
2024-03-27,raw_lomn,65604
2024-03-27,raw_lomn,65736
2024-03-27,raw_lomn,66000
2024-03-27,raw_lomn,68112
2024-03-27,raw_lomn,73568
2024-03-27,raw_lomn,78936
2024-03-27,raw_lomn,83556
2024-03-27,raw_lomn,85756
2024-03-27,lee_mykland,280
2024-03-27,lee_mykland,365
2024-03-27,lee_mykland,466
2024-03-27,lee_mykland,631
2024-03-27,lee_mykland,649
2024-03-27,lee_mykland,661
2024-03-27,lee_mykland,677
2024-03-27,lee_mykland,684
2024-03-27,lee_mykland,706
2024-03-27,lee_mykland,738
2024-03-27,lee_mykland,797
2024-03-27,lee_mykland,849
2024-03-27,lee_mykland,891
2024-03-27,lee_mykland,892
2024-03-27,lee_mykland,1048
2024-03-27,lee_mykland,1050
2024-03-27,lee_mykland,1185
2024-03-27,lee_mykland,1534
2024-03-27,lee_mykland,1576
2024-03-27,lee_mykland,1577
2024-03-27,lee_mykland,1598
2024-03-27,lee_mykland,1820
2024-03-27,lee_mykland,1823
2024-03-27,lee_mykland,1846
2024-03-27,lee_mykland,1860
2024-03-27,lee_mykland,1919
2024-03-27,lee_mykland,1921
2024-03-27,lee_mykland,1966
2024-03-27,lee_mykland,1970
2024-03-27,lee_mykland,1997
2024-03-27,lee_mykland,2000
2024-03-27,lee_mykland,2061
2024-03-27,lee_mykland,2366
2024-03-27,lee_mykland,2435
2024-03-27,lee_mykland,2474
2024-03-27,lee_mykland,3082
2024-03-27,lee_mykland,3201
2024-03-27,lee_mykland,3218
2024-03-27,lee_mykland,3257
2024-03-27,lee_mykland,3374
2024-03-27,lee_mykland,3385
2024-03-27,lee_mykland,3391
2024-03-27,lee_mykland,3395
2024-03-27,lee_mykland,3396
2024-03-27,lee_mykland,3430
2024-03-27,lee_mykland,4042
2024-03-27,lee_mykland,4046
2024-03-27,lee_mykland,4276
2024-03-27,lee_mykland,4304
2024-03-27,lee_mykland,4333
2024-03-27,lee_mykland,4373
2024-03-27,lee_mykland,4403
2024-03-27,lee_mykland,4533
2024-03-27,lee_mykland,4571
2024-03-27,lee_mykland,4707
2024-03-27,lee_mykland,4925
2024-03-27,lee_mykland,5043
2024-03-27,lee_mykland,5090
2024-03-27,lee_mykland,5098
2024-03-27,lee_mykland,5101
2024-03-27,lee_mykland,5128
2024-03-27,lee_mykland,5227
2024-03-27,lee_mykland,5366
2024-03-27,lee_mykland,5416
2024-03-27,lee_mykland,5421
2024-03-27,lee_mykland,5428
2024-03-27,lee_mykland,5447
2024-03-27,lee_mykland,5450
2024-03-27,lee_mykland,5458
2024-03-27,lee_mykland,5463
2024-03-27,lee_mykland,5465
2024-03-27,lee_mykland,5476
2024-03-27,lee_mykland,5785
2024-03-27,lee_mykland,5809
2024-03-27,lee_mykland,5854
2024-03-27,lee_mykland,6057
2024-03-27,lee_mykland,6178
2024-03-27,lee_mykland,6216
2024-03-27,lee_mykland,6320
2024-03-27,lee_mykland,6374
2024-03-27,lee_mykland,6426
2024-03-27,lee_mykland,6450
2024-03-27,lee_mykland,6470
2024-03-27,lee_mykland,6482
2024-03-27,lee_mykland,6566
2024-03-27,lee_mykland,6619
2024-03-27,lee_mykland,6850
2024-03-27,lee_mykland,6956
2024-03-27,lee_mykland,6969
2024-03-27,lee_mykland,6975
2024-03-27,lee_mykland,7017
2024-03-27,lee_mykland,7257
2024-03-27,lee_mykland,7303
2024-03-27,lee_mykland,7653
2024-03-27,lee_mykland,7727
2024-03-27,lee_mykland,7944
2024-03-27,lee_mykland,7967
2024-03-27,lee_mykland,8114
2024-03-27,lee_mykland,8392
2024-03-27,lee_mykland,8529
2024-03-27,lee_mykland,8555
2024-03-27,lee_mykland,8572
2024-03-27,lee_mykland,8585
2024-03-27,lee_mykland,8617
2024-03-27,lee_mykland,8703
2024-03-27,lee_mykland,8831
2024-03-27,lee_mykland,9026
2024-03-27,lee_mykland,9060
2024-03-27,lee_mykland,9083
2024-03-27,lee_mykland,9213
2024-03-27,lee_mykland,9247
2024-03-27,lee_mykland,9540
2024-03-27,lee_mykland,9542
2024-03-27,lee_mykland,9628
2024-03-27,lee_mykland,9648
2024-03-27,lee_mykland,9698
2024-03-27,lee_mykland,9702
2024-03-27,lee_mykland,9707
2024-03-27,lee_mykland,9936
2024-03-27,lee_mykland,9963
2024-03-27,lee_mykland,9970
2024-03-27,lee_mykland,10015
2024-03-27,lee_mykland,10023
2024-03-27,lee_mykland,10026
2024-03-27,lee_mykland,10166
2024-03-27,lee_mykland,10178
2024-03-27,lee_mykland,10183
2024-03-27,lee_mykland,10217
2024-03-27,lee_mykland,10218
2024-03-27,lee_mykland,10425
2024-03-27,lee_mykland,10529
2024-03-27,lee_mykland,10594
2024-03-27,lee_mykland,10616
2024-03-27,lee_mykland,10681
2024-03-27,lee_mykland,10690
2024-03-27,lee_mykland,10700
2024-03-27,lee_mykland,10717
2024-03-27,lee_mykland,10770
2024-03-27,lee_mykland,10794
2024-03-27,lee_mykland,10802
2024-03-27,lee_mykland,10805
2024-03-27,lee_mykland,10811
2024-03-27,lee_mykland,10824
2024-03-27,lee_mykland,10825
2024-03-27,lee_mykland,10827
2024-03-27,lee_mykland,10832
2024-03-27,lee_mykland,10833
2024-03-27,lee_mykland,10835
2024-03-27,lee_mykland,10842
2024-03-27,lee_mykland,10848
2024-03-27,lee_mykland,10927
2024-03-27,lee_mykland,11107
2024-03-27,lee_mykland,11158
2024-03-27,lee_mykland,11165
2024-03-27,lee_mykland,11170
2024-03-27,lee_mykland,11236
2024-03-27,lee_mykland,11417
2024-03-27,lee_mykland,11452
2024-03-27,lee_mykland,11464
2024-03-27,lee_mykland,11465
2024-03-27,lee_mykland,11603
2024-03-27,lee_mykland,11604
2024-03-27,lee_mykland,11760
2024-03-27,lee_mykland,11999
2024-03-27,lee_mykland,12010
2024-03-27,lee_mykland,12039
2024-03-27,lee_mykland,12047
2024-03-27,lee_mykland,12115
2024-03-27,lee_mykland,12205
2024-03-27,lee_mykland,12256
2024-03-27,lee_mykland,12536
2024-03-27,lee_mykland,12541
2024-03-27,lee_mykland,12574
2024-03-27,lee_mykland,12613
2024-03-27,lee_mykland,12620
2024-03-27,lee_mykland,12632
2024-03-27,lee_mykland,12634
2024-03-27,lee_mykland,12641
2024-03-27,lee_mykland,12648
2024-03-27,lee_mykland,12708
2024-03-27,lee_mykland,12720
2024-03-27,lee_mykland,12724
2024-03-27,lee_mykland,12734
2024-03-27,lee_mykland,12737
2024-03-27,lee_mykland,12743
2024-03-27,lee_mykland,12765
2024-03-27,lee_mykland,12783
2024-03-27,lee_mykland,12796
2024-03-27,lee_mykland,12861
2024-03-27,lee_mykland,12896
2024-03-27,lee_mykland,12930
2024-03-27,lee_mykland,13065
2024-03-27,lee_mykland,13088
2024-03-27,lee_mykland,13198
2024-03-27,lee_mykland,13205
2024-03-27,lee_mykland,13217
2024-03-27,lee_mykland,13279
2024-03-27,lee_mykland,13351
2024-03-27,lee_mykland,13400
2024-03-27,lee_mykland,13523
2024-03-27,lee_mykland,13524
2024-03-27,lee_mykland,13540
2024-03-27,lee_mykland,13559
2024-03-27,lee_mykland,13567
2024-03-27,lee_mykland,13577
2024-03-27,lee_mykland,13580
2024-03-27,lee_mykland,13600
2024-03-27,lee_mykland,13662
2024-03-27,lee_mykland,13935
2024-03-27,lee_mykland,14068
2024-03-27,lee_mykland,14073
2024-03-27,lee_mykland,14165
2024-03-27,lee_mykland,14342
2024-03-27,lee_mykland,14518
2024-03-27,lee_mykland,14532
2024-03-27,lee_mykland,14556
2024-03-27,lee_mykland,14599
2024-03-27,lee_mykland,14811
2024-03-27,lee_mykland,14890
2024-03-27,lee_mykland,14901
2024-03-27,lee_mykland,14913
2024-03-27,lee_mykland,15066
2024-03-27,lee_mykland,15101
2024-03-27,lee_mykland,15117
2024-03-27,lee_mykland,15168
2024-03-27,lee_mykland,15209
2024-03-27,lee_mykland,15210
2024-03-27,lee_mykland,15216
2024-03-27,lee_mykland,15220
2024-03-27,lee_mykland,15238
2024-03-27,lee_mykland,15260
2024-03-27,lee_mykland,15304
2024-03-27,lee_mykland,15305
2024-03-27,lee_mykland,15319
2024-03-27,lee_mykland,15344
2024-03-27,lee_mykland,15376
2024-03-27,lee_mykland,15662
2024-03-27,lee_mykland,15736
2024-03-27,lee_mykland,15790
2024-03-27,lee_mykland,15907
2024-03-27,lee_mykland,15909
2024-03-27,lee_mykland,15998
2024-03-27,lee_mykland,16035
2024-03-27,lee_mykland,16065
2024-03-27,lee_mykland,16126
2024-03-27,lee_mykland,16142
2024-03-27,lee_mykland,16156
2024-03-27,lee_mykland,16167
2024-03-27,lee_mykland,16277
2024-03-27,lee_mykland,16317
