TP,FP,FN,precision,recall,F1,method,day,regime,n_hours,n_truth,n_detected
0,1,0,0.0,1.0,0.0,raw_lomn,2024-03-27,low,4,0,1
0,313,0,0.0,1.0,0.0,lee_mykland,2024-03-27,low,4,0,313
0,1,0,0.0,1.0,0.0,lomn_xgb,2024-03-27,low,4,0,1
0,0,0,1.0,1.0,1.0,pure_ml,2024-03-27,low,4,0,0
1,2,1,0.3333333333333333,0.5,0.4,raw_lomn,2024-03-27,mid,9,2,3
2,488,0,0.004081632653061225,1.0,0.008130081300813009,lee_mykland,2024-03-27,mid,9,2,490
2,2,0,0.5,1.0,0.6666666666666666,lomn_xgb,2024-03-27,mid,9,2,4
0,1,2,0.0,0.0,0.0,pure_ml,2024-03-27,mid,9,2,1
41,19,17,0.6833333333333333,0.7068965517241379,0.6949152542372882,raw_lomn,2024-03-27,high,11,58,60
27,268,31,0.09152542372881356,0.46551724137931033,0.15297450424929177,lee_mykland,2024-03-27,high,11,58,295
50,37,8,0.5747126436781609,0.8620689655172413,0.689655172413793,lomn_xgb,2024-03-27,high,11,58,87
32,28,26,0.5333333333333333,0.5517241379310345,0.5423728813559322,pure_ml,2024-03-27,high,11,58,60
0,0,2,1.0,0.0,0.0,raw_lomn,2024-03-28,low,5,2,0
2,499,0,0.003992015968063872,1.0,0.007952286282306162,lee_mykland,2024-03-28,low,5,2,501
1,0,1,1.0,0.5,0.6666666666666666,lomn_xgb,2024-03-28,low,5,2,1
1,0,1,1.0,0.5,0.6666666666666666,pure_ml,2024-03-28,low,5,2,1
3,2,0,0.6,1.0,0.7499999999999999,raw_lomn,2024-03-28,mid,8,3,5
3,446,0,0.0066815144766146995,1.0,0.013274336283185839,lee_mykland,2024-03-28,mid,8,3,449
3,4,0,0.42857142857142855,1.0,0.6,lomn_xgb,2024-03-28,mid,8,3,7
0,2,3,0.0,0.0,0.0,pure_ml,2024-03-28,mid,8,3,2
16,12,15,0.5714285714285714,0.5161290322580645,0.5423728813559322,raw_lomn,2024-03-28,high,11,31,28
17,296,14,0.054313099041533544,0.5483870967741935,0.09883720930232556,lee_mykland,2024-03-28,high,11,31,313
19,23,12,0.4523809523809524,0.6129032258064516,0.5205479452054794,lomn_xgb,2024-03-28,high,11,31,42
6,7,25,0.46153846153846156,0.1935483870967742,0.2727272727272727,pure_ml,2024-03-28,high,11,31,13
2,3,1,0.4,0.6666666666666666,0.5,raw_lomn,2024-03-29,low,15,3,5
3,1473,0,0.0020325203252032522,1.0,0.004056795131845843,lee_mykland,2024-03-29,low,15,3,1476
2,2,1,0.5,0.6666666666666666,0.5714285714285715,lomn_xgb,2024-03-29,low,15,3,4
0,1,3,0.0,0.0,0.0,pure_ml,2024-03-29,low,15,3,1
12,8,9,0.6,0.5714285714285714,0.5853658536585366,raw_lomn,2024-03-29,mid,7,21,20
11,469,10,0.022916666666666665,0.5238095238095238,0.04391217564870259,lee_mykland,2024-03-29,mid,7,21,480
16,11,5,0.5925925925925926,0.7619047619047619,0.6666666666666666,lomn_xgb,2024-03-29,mid,7,21,27
5,2,16,0.7142857142857143,0.23809523809523808,0.35714285714285715,pure_ml,2024-03-29,mid,7,21,7
5,9,3,0.35714285714285715,0.625,0.45454545454545453,raw_lomn,2024-03-29,high,2,8,14
5,69,3,0.06756756756756757,0.625,0.12195121951219512,lee_mykland,2024-03-29,high,2,8,74
6,11,2,0.35294117647058826,0.75,0.48,lomn_xgb,2024-03-29,high,2,8,17
3,3,5,0.5,0.375,0.42857142857142855,pure_ml,2024-03-29,high,2,8,6
