regime,method,TP,FP,FN,n_hours,precision,recall,F1
high,lee_mykland,49,633,48,24,0.0718475073313783,0.5051546391752577,0.1258023106546855
high,lomn_xgb,75,71,22,24,0.5136986301369864,0.7731958762886598,0.6172839506172841
high,pure_ml,41,38,56,24,0.5189873417721519,0.422680412371134,0.4659090909090909
high,raw_lomn,62,40,35,24,0.6078431372549019,0.6391752577319587,0.6231155778894472
low,lee_mykland,5,2285,0,24,0.002183406113537118,1.0,0.004357298474945534
low,lomn_xgb,3,3,2,24,0.5,0.6,0.5454545454545454
low,pure_ml,1,1,4,24,0.5,0.2,0.28571428571428575
low,raw_lomn,2,4,3,24,0.3333333333333333,0.4,0.3636363636363636
mid,lee_mykland,16,1403,10,24,0.01127554615926709,0.6153846153846154,0.022145328719723186
mid,lomn_xgb,21,17,5,24,0.5526315789473685,0.8076923076923077,0.6562500000000001
mid,pure_ml,5,5,21,24,0.5,0.19230769230769232,0.2777777777777778
mid,raw_lomn,16,12,10,24,0.5714285714285714,0.6153846153846154,0.5925925925925927
