feature,gain
f_lomn_abs_std,36.405155181884766
f_dt_prev_cand,9.078734397888184
f_lomn_signed,7.0202836990356445
f_realvar_60s,5.953414440155029
f_obi_l1,5.353577136993408
f_n_trades_pm5s,5.165348529815674
f_bipower_60s,5.042477607727051
f_volume_pm5s,4.609487056732178
f_book_slope_bid,4.3595099449157715
f_jump_ratio,4.31278657913208
f_signed_flow_pm5s,4.211221218109131
ask_0_1bp,4.159935474395752
f_cumimb_5bp,4.086757659912109
f_total_depth_bid_100bp,3.8670101165771484
f_imb_0_1bp,3.8546600341796875
bid_2_5bp,3.853567123413086
f_book_slope_ask,3.7734246253967285
f_total_depth_ask_100bp,3.687891721725464
f_cumimb_2bp,3.6860296726226807
f_dspread_60s,3.658235549926758
f_imb_1_2bp,3.6194562911987305
f_log_mid,3.496260166168213
bid_1_2bp,3.419337511062622
f_realkurt_60s,3.4057536125183105
bid_0_1bp,3.2975869178771973
ask_1_2bp,2.9432213306427
f_cumimb_1bp,2.9420948028564453
ask_2_5bp,2.7873318195343018
f_cumimb_10bp,2.0502705574035645
f_imb_2_5bp,1.9955812692642212
f_spread,0.0
bid_5_10bp,0.0
ask_5_10bp,0.0
ask_25_50bp,0.0
bid_10_25bp,0.0
ask_10_25bp,0.0
bid_25_50bp,0.0
f_imb_50_100bp,0.0
f_imb_25_50bp,0.0
f_imb_10_25bp,0.0
f_imb_5_10bp,0.0
ask_100_500bp,0.0
bid_50_100bp,0.0
ask_50_100bp,0.0
bid_100_500bp,0.0
f_cumimb_100bp,0.0
f_cumimb_50bp,0.0
f_cumimb_25bp,0.0
f_imb_100_500bp,0.0
f_cumimb_500bp,0.0
f_book_skew,0.0
f_inner5_share_bid,0.0
f_inner5_share_ask,0.0
