feature,gain
f_lomn_abs_std,38.286067962646484
f_dt_prev_cand,13.062444686889648
f_n_trades_pm5s,11.303567886352539
f_lomn_signed,10.142526626586914
f_volume_pm5s,7.4752631187438965
f_realvar_60s,6.75981330871582
f_cumimb_5bp,5.663837909698486
f_total_depth_bid_100bp,5.553427696228027
f_book_slope_ask,5.461153984069824
f_imb_2_5bp,5.405572891235352
f_obi_l1,5.206748962402344
bid_2_5bp,4.836878299713135
f_signed_flow_pm5s,4.725094795227051
f_book_slope_bid,4.68537712097168
f_bipower_60s,4.644596099853516
bid_0_1bp,4.625235080718994
f_log_mid,4.486980438232422
f_cumimb_10bp,4.395473957061768
bid_1_2bp,4.370328903198242
ask_2_5bp,4.173940658569336
f_realkurt_60s,4.108619213104248
f_cumimb_2bp,4.092345714569092
f_imb_1_2bp,4.067344665527344
f_jump_ratio,3.986316442489624
f_imb_0_1bp,3.9073219299316406
ask_1_2bp,3.8730244636535645
f_dspread_60s,3.669790744781494
f_cumimb_25bp,3.665847063064575
f_cumimb_1bp,3.4508228302001953
ask_0_1bp,3.3826234340667725
f_total_depth_ask_100bp,2.898803949356079
bid_5_10bp,0.0
f_spread,0.0
ask_25_50bp,0.0
bid_10_25bp,0.0
ask_10_25bp,0.0
ask_5_10bp,0.0
f_imb_50_100bp,0.0
f_imb_25_50bp,0.0
f_imb_10_25bp,0.0
f_imb_5_10bp,0.0
ask_100_500bp,0.0
bid_50_100bp,0.0
ask_50_100bp,0.0
bid_100_500bp,0.0
bid_25_50bp,0.0
f_cumimb_100bp,0.0
f_imb_100_500bp,0.0
f_cumimb_50bp,0.0
f_cumimb_500bp,0.0
f_book_skew,0.0
f_inner5_share_bid,0.0
f_inner5_share_ask,0.0
