feature,gain
f_lomn_abs_std,44.03943634033203
f_n_trades_pm5s,13.864752769470215
f_dt_prev_cand,11.196466445922852
f_lomn_signed,8.616620063781738
f_cumimb_1bp,8.466024398803711
f_realvar_60s,7.982701778411865
f_cumimb_100bp,7.750934600830078
f_signed_flow_pm5s,6.577173709869385
ask_2_5bp,6.259176254272461
f_volume_pm5s,6.193727493286133
f_cumimb_50bp,5.959724426269531
bid_0_1bp,5.864856719970703
f_bipower_60s,5.802130699157715
f_book_slope_bid,5.5983099937438965
f_obi_l1,5.190255641937256
f_inner5_share_ask,5.169888496398926
f_inner5_share_bid,5.160126686096191
f_cumimb_2bp,5.019712448120117
f_cumimb_5bp,4.96539831161499
ask_0_1bp,4.9218950271606445
f_jump_ratio,4.794635772705078
f_log_mid,4.679807662963867
ask_5_10bp,4.612112045288086
f_cumimb_25bp,4.58007287979126
f_book_slope_ask,4.546917915344238
f_imb_2_5bp,4.373849868774414
bid_5_10bp,4.274060249328613
ask_10_25bp,4.2454328536987305
f_total_depth_bid_100bp,4.145451068878174
f_total_depth_ask_100bp,4.1259989738464355
f_imb_5_10bp,4.1257219314575195
ask_1_2bp,4.084323406219482
bid_1_2bp,3.96587872505188
f_imb_0_1bp,3.952183485031128
f_cumimb_10bp,3.935382127761841
f_realkurt_60s,3.934004306793213
bid_2_5bp,3.9142532348632812
f_imb_1_2bp,3.859093189239502
f_imb_10_25bp,3.7497315406799316
bid_10_25bp,3.544978141784668
f_dspread_60s,1.760115623474121
f_spread,0.0
bid_50_100bp,0.0
ask_50_100bp,0.0
bid_100_500bp,0.0
f_imb_50_100bp,0.0
f_imb_25_50bp,0.0
ask_100_500bp,0.0
bid_25_50bp,0.0
ask_25_50bp,0.0
f_imb_100_500bp,0.0
f_cumimb_500bp,0.0
f_book_skew,0.0
