ok,n_jumps,mu,alpha,beta,branching,logL_hawkes,mu_poisson,logL_poisson,LR,p_value,symbol,day
True,37,0.00015964844919692084,0.0008059695027162621,0.0012850263949385854,0.6272007375807883,-305.3892361336325,0.00042824074074074075,-323.9655265594731,37.15258085168125,8.558932007574072e-09,BTCUSDT,2025-05-01
True,56,0.00012792108502767704,0.0010018848585757229,0.0012482428839196993,0.802636146764667,-430.93694895401444,0.0006481481481481481,-467.1179107871919,72.36192366635487,2.220446049250313e-16,BTCUSDT,2026-05-01
True,108,0.00046960584581640146,0.0013812441145823419,0.002211443788654527,0.6245892939574602,-785.5169992890977,0.00125,-829.9380665881362,88.84213459807688,0.0,BTCUSDT,2026-05-02
True,103,0.00029140696811013077,0.0008957189529302341,0.0011638588056001617,0.7696113554498931,-743.141400542531,0.0011921296296296296,-796.3974385559386,106.5120760268153,0.0,BTCUSDT,2026-05-03
True,63,0.00017804896638946909,0.0015922694669497483,0.002106681947111827,0.7558186318218008,-477.26194487843804,0.0007291666666666667,-518.0873183892387,81.65074702160132,0.0,BTCUSDT,2026-05-04
True,31,0.0001274159020854324,0.0010882750311008475,0.0016874294629878155,0.6449306800498278,-255.70050500987307,0.0003587962962962963,-276.91542825951706,42.429846499287976,6.116118722587771e-10,BTCUSDT,2026-05-05
True,20,0.00018547342492226897,0.0020409861746381775,0.010268878432780295,0.1987545366320576,-183.4130824787672,0.0002314814814814815,-187.4202136247631,8.014262291991827,0.018185491993597425,BTCUSDT,2026-05-06
True,27,0.00013814860674396428,0.00026187477060915477,0.000467764318779102,0.559843408519629,-238.6469895625242,0.0003125,-244.91446439727105,12.534949669493699,0.0018970128110199491,BTCUSDT,2026-05-07
True,42,0.00012946679495759333,0.000733601266428303,0.0009999086816838533,0.7336682637787615,-338.7799652762034,0.0004861111111111111,-362.4210801333687,47.28222971433058,5.4049875686246196e-11,BTCUSDT,2026-05-08
True,41,0.00042551740063459124,0.0009126160981212055,0.008834672198247545,0.10329937293001465,-353.23510408016995,0.00047453703703703704,-354.7800064116014,3.089804662862889,0.2133327061054735,BTCUSDT,2026-05-09
True,99,4.698126112250988e-05,0.0007355573881453395,0.0007061733486313752,1.0416102357458166,-655.0645473022646,0.0011458333333333333,-769.3906873610981,228.65228011766703,0.0,BTCUSDT,2026-05-10
True,37,0.00010528004248038731,0.00038969059810538487,0.0005165394115244057,0.7544256825540845,-311.28941612947517,0.00042824074074074075,-323.9655265594731,25.352220859995896,3.124893266703843e-06,BTCUSDT,2026-05-11
True,46,0.0001437362012046359,0.0009408439876221915,0.0012880209863157497,0.730457032624428,-364.7654161422231,0.0005324074074074074,-392.7526716819404,55.97451107943459,7.003286839335487e-13,BTCUSDT,2026-05-12
True,38,9.174598379214109e-05,0.00030132323584918197,0.0003796727061387356,0.7936394451780159,-314.6308220703451,0.0004398148148148148,-331.7079582124989,34.15427228430758,3.832604511533333e-08,BTCUSDT,2026-05-13
True,40,0.00014465428721960831,0.000461634247217745,0.0006619469005614382,0.6973886377082579,-329.4725658674783,0.000462962962962963,-347.11454002712844,35.28394831930029,2.1786525361555675e-08,BTCUSDT,2026-05-14
True,51,0.00020304340172891722,0.0008340895337921484,0.0012714384857803673,0.6560203604975915,-411.3586866348754,0.0005902777777777778,-430.18078342545886,37.64419358116686,6.693715137728873e-09,ETHUSDT,2026-05-01
