symbol,regime,method,TP,FP,FN,precision,recall,F1
BTCUSDT,high,lee_mykland,50,1333,13,0.036153289949385395,0.7936507936507936,0.06915629322268327
BTCUSDT,high,lomn_xgb,52,96,11,0.35135135135135137,0.8253968253968254,0.49289099526066354
BTCUSDT,high,raw_lomn,42,32,21,0.5675675675675675,0.6666666666666666,0.6131386861313869
BTCUSDT,low,lee_mykland,2,2533,0,0.0007889546351084812,1.0,0.0015766653527788726
BTCUSDT,low,lomn_xgb,2,5,0,0.2857142857142857,1.0,0.4444444444444445
BTCUSDT,low,raw_lomn,2,0,0,1.0,1.0,1.0
BTCUSDT,mid,lee_mykland,12,2233,1,0.005345211581291759,0.9230769230769231,0.01062887511071745
BTCUSDT,mid,lomn_xgb,10,31,3,0.24390243902439024,0.7692307692307693,0.37037037037037035
BTCUSDT,mid,raw_lomn,7,14,6,0.3333333333333333,0.5384615384615384,0.41176470588235287
ETHUSDT,high,lee_mykland,41,1056,17,0.037374658158614404,0.7068965517241379,0.070995670995671
ETHUSDT,high,lomn_xgb,49,63,9,0.4375,0.8448275862068966,0.5764705882352941
ETHUSDT,high,raw_lomn,39,22,19,0.639344262295082,0.6724137931034483,0.6554621848739496
ETHUSDT,low,lee_mykland,1,2572,0,0.000388651379712398,1.0,0.000777000777000777
ETHUSDT,low,lomn_xgb,1,8,0,0.1111111111111111,1.0,0.19999999999999998
ETHUSDT,low,raw_lomn,1,5,0,0.16666666666666666,1.0,0.2857142857142857
ETHUSDT,mid,lee_mykland,5,2128,1,0.0023441162681669013,0.8333333333333334,0.004675081813931745
ETHUSDT,mid,lomn_xgb,6,16,0,0.2727272727272727,1.0,0.42857142857142855
ETHUSDT,mid,raw_lomn,4,4,2,0.5,0.6666666666666666,0.5714285714285715
SOLUSDT,high,lee_mykland,54,1118,16,0.04607508532423208,0.7714285714285715,0.08695652173913043
SOLUSDT,high,lomn_xgb,63,118,7,0.34806629834254144,0.9,0.50199203187251
SOLUSDT,high,raw_lomn,47,34,23,0.5802469135802469,0.6714285714285714,0.6225165562913907
SOLUSDT,low,lee_mykland,4,3067,0,0.0013025073266037122,1.0,0.0026016260162601626
SOLUSDT,low,lomn_xgb,4,18,0,0.18181818181818182,1.0,0.3076923076923077
SOLUSDT,low,raw_lomn,4,6,0,0.4,1.0,0.5714285714285715
SOLUSDT,mid,lee_mykland,12,2332,1,0.005119453924914676,0.9230769230769231,0.010182435299109038
SOLUSDT,mid,lomn_xgb,10,35,3,0.2222222222222222,0.7692307692307693,0.3448275862068966
SOLUSDT,mid,raw_lomn,7,7,6,0.5,0.5384615384615384,0.5185185185185186
